Date,Dividends
15-Dec-2000,0.036333
16-Mar-2001,0.044333
15-Jun-2001,0.0375
21-Sep-2001,0.059667
21-Dec-2001,0.035833
15-Mar-2002,0.0305
21-Jun-2002,0.034667
20-Sep-2002,0.044333
20-Dec-2002,0.047
21-Mar-2003,0.042167
20-Jun-2003,0.044
19-Sep-2003,0.043
19-Dec-2003,0.059
19-Mar-2004,0.044833
18-Jun-2004,0.047
17-Sep-2004,0.0535
17-Dec-2004,0.112167
18-Mar-2005,0.054333
17-Jun-2005,0.0605
16-Sep-2005,0.055667
16-Dec-2005,0.0725
17-Mar-2006,0.057
16-Jun-2006,0.062167
15-Sep-2006,0.063333
15-Dec-2006,0.074333
16-Mar-2007,0.061
15-Jun-2007,0.071667
21-Sep-2007,0.074167
21-Dec-2007,0.074
20-Mar-2008,0.071
20-Jun-2008,0.08
19-Sep-2008,0.077333
19-Dec-2008,0.075167
20-Mar-2009,0.0635
19-Jun-2009,0.059167
18-Sep-2009,0.057667
18-Dec-2009,0.049
19-Mar-2010,0.051833
18-Jun-2010,0.058833
17-Sep-2010,0.066
17-Dec-2010,0.066
18-Mar-2011,0.061
17-Jun-2011,0.069333
16-Sep-2011,0.069333
16-Dec-2011,0.084167
16-Mar-2012,0.0675
15-Jun-2012,0.0765
21-Sep-2012,0.086667
21-Dec-2012,0.115
15-Mar-2013,0.075167
21-Jun-2013,0.094167
20-Sep-2013,0.0975
20-Dec-2013,0.112833
21-Mar-2014,0.097
20-Jun-2014,0.112167
19-Sep-2014,0.1105
19-Dec-2014,0.216167
20-Mar-2015,0.093833
19-Jun-2015,0.121167
18-Sep-2015,0.146
18-Dec-2015,0.125167
18-Mar-2016,0.120833
17-Jun-2016,0.13
16-Sep-2016,0.128833
16-Dec-2016,0.153833
17-Mar-2017,0.119333
16-Jun-2017,0.137333
15-Sep-2017,0.126167
15-Dec-2017,0.167
16-Mar-2018,0.126
15-Jun-2018,0.125
21-Sep-2018,0.184
21-Dec-2018,0.151
15-Mar-2019,0.148
21-Jun-2019,0.173
20-Sep-2019,0.159
20-Dec-2019,0.203
23-Mar-2020,0.201
22-Jun-2020,0.171
21-Sep-2020,0.142
21-Dec-2020,0.204
22-Mar-2021,0.159
21-Jun-2021,0.174
20-Sep-2021,0.187
20-Dec-2021,0.209
21-Mar-2022,0.175
21-Jun-2022,0.204
19-Sep-2022,0.203
19-Dec-2022,0.216
20-Mar-2023,0.189
20-Jun-2023,0.213
18-Sep-2023,0.206
18-Dec-2023,0.231
18-Mar-2024,0.207
24-Jun-2024,0.234
23-Sep-2024,0.226
23-Dec-2024,0.249
